TallyType,Surface,Distance,Energy,Counts,Uncertainty
tally_type_1,7,0.0,0.094161,689864.0,0.0012
tally_type_1,7,0.0,0.09852,689379.0,0.0012
tally_type_1,7,0.0,0.10307999999999999,693167.0,0.0012
tally_type_1,7,0.0,0.10785,695084.0,0.0012
tally_type_1,7,0.0,0.11284,698176.0,0.0012
tally_type_1,7,0.0,0.11807,701099.0,0.0012
tally_type_1,7,0.0,0.12353,701660.0,0.0012
tally_type_1,7,0.0,0.12925,704689.0,0.0012
tally_type_1,7,0.0,0.13523,707211.0,0.0012
tally_type_1,7,0.0,0.14149,709655.0,0.0012
tally_type_1,7,0.0,0.14804,712141.0,0.0012
tally_type_1,7,0.0,0.15489,715225.0,0.0012
tally_type_1,7,0.0,0.16206,716417.0,0.0012
tally_type_1,7,0.0,0.16956,718467.0,0.0012
tally_type_1,7,0.0,0.17740999999999998,721793.0,0.0012
tally_type_1,7,0.0,0.18562,724855.0,0.0012
tally_type_1,7,0.0,0.19422,725479.0,0.0012
tally_type_1,7,0.0,0.20321,727561.0,0.0012
tally_type_1,7,0.0,0.21261000000000002,731515.0,0.0012
tally_type_1,7,0.0,0.22245,734617.0,0.0012
tally_type_1,7,0.0,0.23274999999999998,734697.0,0.0012
tally_type_1,7,0.0,0.24352,736682.0,0.0012
tally_type_1,7,0.0,0.2548,740599.0,0.0012
tally_type_1,7,0.0,0.26659,743443.0,0.0012
tally_type_1,7,0.0,0.27893,746171.0,0.0012
tally_type_1,7,0.0,0.29184000000000004,749014.0,0.0012
tally_type_1,7,0.0,0.30535,751881.0,0.0012
tally_type_1,7,0.0,0.31948000000000004,753839.0,0.0012
tally_type_1,7,0.0,0.33427,757174.0,0.0011
tally_type_1,7,0.0,0.34974,757696.0,0.0011
tally_type_1,7,0.0,0.36593,760917.0,0.0011
tally_type_1,7,0.0,0.38287,763294.0,0.0011
tally_type_1,7,0.0,0.40059,768377.0,0.0011
tally_type_1,7,0.0,0.41913,768075.0,0.0011
tally_type_1,7,0.0,0.43853000000000003,771875.0,0.0011
tally_type_1,7,0.0,0.45883,774156.0,0.0011
tally_type_1,7,0.0,0.48007,774605.0,0.0011
tally_type_1,7,0.0,0.50229,778819.0,0.0011
tally_type_1,7,0.0,0.52554,780450.0,0.0011
tally_type_1,7,0.0,0.5498700000000001,784469.0,0.0011
tally_type_1,7,0.0,0.57532,788600.0,0.0011
tally_type_1,7,0.0,0.60195,789717.0,0.0011
tally_type_1,7,0.0,0.62981,790558.0,0.0011
tally_type_1,7,0.0,0.65896,794866.0,0.0011
tally_type_1,7,0.0,0.6894600000000001,796005.0,0.0011
tally_type_1,7,0.0,0.72138,800722.0,0.0011
tally_type_1,7,0.0,0.7547699999999999,803489.0,0.0011
tally_type_1,7,0.0,0.7897,806591.0,0.0011
tally_type_1,7,0.0,0.82626,808704.0,0.0011
tally_type_1,7,0.0,0.8645,809471.0,0.0011
tally_type_1,7,0.0,0.90452,814318.0,0.0011
tally_type_1,7,0.0,0.94638,816090.0,0.0011
tally_type_1,7,0.0,0.9901899999999999,818644.0,0.0011
tally_type_1,7,0.0,1.036,819683.0,0.0011
tally_type_1,7,0.0,1.0839999999999999,824088.0,0.0011
tally_type_1,7,0.0,1.1341999999999999,827607.0,0.0011
tally_type_1,7,0.0,1.1865999999999999,829552.0,0.0011
tally_type_1,7,0.0,1.2416,833090.0,0.0011
tally_type_1,7,0.0,1.299,835090.0,0.0011
tally_type_1,7,0.0,1.3592000000000002,837954.0,0.0011
tally_type_1,7,0.0,1.4221,842432.0,0.0011
tally_type_1,7,0.0,1.4879,842845.0,0.0011
tally_type_1,7,0.0,1.5568,846649.0,0.0011
tally_type_1,7,0.0,1.6287999999999998,850419.0,0.0011
tally_type_1,7,0.0,1.7042,854255.0,0.0011
tally_type_1,7,0.0,1.7831,855256.0,0.0011
tally_type_1,7,0.0,1.8657000000000001,858474.0,0.0011
tally_type_1,7,0.0,1.952,859920.0,0.0011
tally_type_1,7,0.0,2.0424,865037.0,0.0011
tally_type_1,7,0.0,2.1369000000000002,867238.0,0.0011
tally_type_1,7,0.0,2.2358000000000002,868345.0,0.0011
tally_type_1,7,0.0,2.3392999999999997,872787.0,0.0011
tally_type_1,7,0.0,2.4476,873958.0,0.0011
tally_type_1,7,0.0,2.5609,877788.0,0.0011
tally_type_1,7,0.0,2.6794000000000002,880453.0,0.0011
tally_type_1,7,0.0,2.8034000000000003,883331.0,0.0011
tally_type_1,7,0.0,2.9332,886258.0,0.0011
tally_type_1,7,0.0,3.069,890430.0,0.0011
tally_type_1,7,0.0,3.211,891867.0,0.0011
tally_type_1,7,0.0,3.3596,895684.0,0.0011
tally_type_1,7,0.0,3.5151000000000003,898142.0,0.0011
tally_type_1,7,0.0,3.6779,898042.0,0.0011
tally_type_1,7,0.0,3.8481,900594.0,0.0011
tally_type_1,7,0.0,4.026199999999999,905608.0,0.0011
tally_type_1,7,0.0,4.2126,907011.0,0.001
tally_type_1,7,0.0,4.4076,910017.0,0.001
tally_type_1,7,0.0,4.6116,913003.0,0.001
tally_type_1,7,0.0,4.825,916515.0,0.001
